name,sciname,altname,is_preferred,harvest,group,fresh_moisture,max_yield,FAO_name,agrovoc
rocket,Eruca sativa,,yes,,vegetables,,,rocket,c_5c9e76bc
root,spp,root crop,no,root,root_tuber,,,,
rose hip,Rosa sp,,yes,fruit,fruits,,,rose hips,c_50142
roselle,Hibiscus sabdariffa,,yes,,vegetables,,,roselle,c_a8b0f9a7
rosemary,Salvia rosmarinus,,yes,leaves,culinary_herbs,,,rosemary,c_13963
rubber,Hevea brasiliensis,,yes,,industrial_crops,,,rubber crops,c_6679
rue,Ruta graveolens,,yes,leaves,culinary_herbs,,,,
runner bean,Phaseolus coccineus,,yes,fruits,pulses,,,,
rutabaga,Brassica napus,,yes,,vegetables,,,rutabagas,c_6713
rye,Secale cereale,,yes,grain,cereals,,,rye,c_14010
rye grass,Lolium perenne,,yes,above_ground,fodder_crops,,,,
safflower,Cartamo tinctorius,,yes,seed,oil_seeds,,,safflower seed,c_25503
saffron,Crocus sativus,,yes,flower,spices,,,saffron,c_14023
safou,Dacryodes edulis,,yes,fruit,fruits,,,safou,c_34775
sage,Salvia officinalis,,yes,leaves,culinary_herbs,,,sage,c_14025
salsify,Tragopogon porrifolius,,yes,,vegetables,,,salsify,c_14055
satsuma,Citrus unshiu,,yes,fruit,fruits,,,satsumas,c_6819
seakale,Crambe maritima,crambe,yes,,vegetables,,,seakale,c_87057e4f
sesame,Sesamum indicum,,yes,seed,oil_seeds,,,sesame seed,c_14216
sesbania,Sesbania sp.,,yes,above_ground,green_manures,,125000,sesbania,c_6993
shallot,Allium cepa,,yes,,vegetables,,,shallots,c_14233
shea nut,Vitellaria paradoxa,,yes,seed,nuts,,,shea nuts,c_25505
sisal,Agave sisalana,,yes,leaves,fibre_crops,,,sisal,c_7086
sorghum,Sorghum bicolor,,yes,grain,cereals,,18000,sorghum grain,c_7249
sorrel,Rumex acetosa,,yes,leaves,vegetables,,,,
soursop,Annona muricata,,yes,fruit,fruits,,,,
sour cherry,Prunus cerasus,,yes,fruit,fruits,,,sour cherries,c_9767
soybean,Glycine max,,yes,seed,oil_seeds,,17000,soybeans,c_14477
spices,,,no,,spices,,,,
spinach,Spinacia oleracea,,yes,,vegetables,,,spinach,c_14508
squash,Cucurbita pepo,summer squash,yes,,vegetables,,,squashes,c_37735
star anise,Illicium verum,,yes,fruit,spices,,,,
stevia,Stevia rebaudiana,,yes,,,,,,
strawberry,Fragaria sp.,,yes,fruit,fruits,,,strawberries,c_7443
subterranean clover,Trifolium subterraneum,,yes,above_ground,fodder,,,,
sudan grass,Sorghum × drummondii ,,yes,above_ground,fodder,,,,
sugar beet,Beta vulgaris,,yes,root,sugar_crops,,,sugar beet,c_7499
sugarcane,Saccharum officinarum,,yes,stems,sugar_crops,,300000,sugar cane,c_7501
sumac,Rhus sp.,,yes,,spices,,,sumac,c_aa51cda6
sunflower,Helianthus annuus,,yes,seed,oil_crops,,80000,sunflowers,c_aad037e4
sunn hemp,Crotalaria juncea,,yes,leaves,fibre_crops,,,sunn hemp,c_7520
sweetpotato,Ipomoea batatas,,yes,root,root_tuber,,100000,sweet potatoes,c_14729
switch grass,Panicum virgatum,,yes,above_ground,fodder,,,,
tall fescue,Lolium arundinaceum ,,yes,above_ground,fodder,,,,
tangelo,Citrus × tangelo,,yes,fruit,fruits,,,tangelos,c_7600
tangerine,Citrus sp.,,yes,fruit,fruits,,,tangerines,c_7601
tangor,C. reticulata × C. sinensis,,yes,fruit,fruits,,,tangors,c_7602
tanier,Xanthosoma spp,,yes,,,,,,
tannia,Xanthosoma sagittifolium,yautia; taioba,yes,root,root_tuber,,,tannia,c_8460
taro,Colocasia esculenta,cocoyam,yes,root,root_tuber,,,taro,c_14791
tarwi,Lupinus mutabilis,chocho,yes,seed,pulses,,,,
tea,Camellia sinensis,,yes,leaves,stimulants,,,tea,c_7634
teff,Eragrostis tef,,yes,grain,cereals,,10000,teff,c_b2ba9c4c
tepary bean,Phaseolus acutifolius,,yes,seed,,,,,
thyme,Thymus vulgaris,,yes,leaves,culinary_herbs,,,thyme,c_14877
tobacco,Nicotiana tabacum,,yes,leaves,stimulants,,10000,tobacco,c_7796
tomato,Solanum lycopersicum,,yes,fruit,vegetables,,100000,tomatoes,c_7805
tomatillo,Physalis philadelphica; Physalis ixocarpa,Mexican husk tomato,yes,fruit,vegetables,,10000,tomatoes,
triticale,×Triticosecale,,yes,grain,cereals,,12000,triticales,c_7949
tritordeum,×Tritordeum,,yes,grain,cereals,,12000,,
tumeric,Curcuma longa,,yes,roots,spices,,,,
tung tree,Vernicia fordii,,yes,seed,oil_crops,,,tung tree,c_253
turnip,Brassica rapa,,yes,root; leaves,vegetables,,,turnips,c_8019
unknown,,,no,,other,,,,
urd bean,Vigna mungo,,yes,seed,pulses,,,urd beans,c_8089
vanilla,Vanilla planifolia,,yes,fruit,spices,,,vanilla,c_15126
vegetable,spp,,no,,vegetables,,,,
velvet bean,Mucuna pruriens,,yes,,green manure; medicinal,,,velvet bean,c_4971
vetch,Vicia spp,,yes,above_ground,green_manures; fodder_crops,,,vetches,c_8214
walnut,Juglans regia,,yes,seed,nuts,,,walnuts,c_15254
watercress,Nasturtium officinale,,yes,,vegetables,,,watercress,c_15275
watermelon,Citrullus lanatus,,yes,fruit,fruits,,,watermelons,c_15277
wheat,Triticum aestivum,,yes,seed,cereals,,19000,wheat,c_8373
white clover,Trifolium repens,,yes,above_ground,green_manures,,,,
white currant,Ribes rubrum,,yes,fruit,fruits,,,white currants,c_8379
white fonio,Digitaria exilis,,yes,grain,cereals,,,,
white lupin,Lupinus albus,,yes,seed,pulses,,,,
white mustard,Sinapis alba,,yes,seed;none,spices;green_manures,,,,
white sapote,Casimiroa edulis,,yes,fruit,fruits,,,,
winter melon,Benincasa hispida,,yes,fruit,fruits,,,winter melons,c_acf09bff
winter squash,Cucurbita moschata,,yes,fruit,,,,,
yam,Dioscorea cayenensis subsp. rotundata,white yam,yes,tuber,root_tuber,,60000,yams,c_8478
yellow lupin,Lupinus luteus,,yes,seed,pulses;feed,,,,
zira,Bunium persicum,white cumin,yes,seed,spices,,,,
zucchini,Cucurbita pepo,courgette,yes,fruit,vegetables,,,,
