name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,description,notes,obo
root_infection,numeric,%,,no,0,100,Roots that are disease infected,,
root_AMF,numeric,%,,no,0,100,Root colonization by arbuscular micorrhizal fungi,,
nodule_weight,numeric,kg/ha,,no,0,,Fresh weight or root nodules,,TO_0000899
leaf_N,numeric,mg/g,,no,10,600,nitrogen content in leaf,,TO_0000543
leaf_N_NH4,numeric,mg/g,,no,5,600,N (NH4) content in leaf,,
leaf_N_NO3,numeric,mg/g,,no,5,600,N (NO3) content in leaf,,
leaf_K,numeric,mg/g,,no,5,50,potassium content in leaf,,
leaf_P,numeric,mg/g,,no,1,50,phosphorous content in leaf,,TO_0001025
leaf_S,numeric,mg/g,,no,1,50,sulphur content in leaf,,
leaf_Mg,numeric,mg/g,,no,1,50,magnesium content in leaf,,
leaf_Ca,numeric,mg/g,,no,1,50,calcium content in leaf,,
leaf_Fe,numeric,mg/g,,no,1,50,iron content in leaf,,
leaf_Zn,numeric,mg/g,,no,1,50,zinc content in leaf,,
leaf_Cu,numeric,mg/g,,no,1,50,copper content in leaf,,
leaf_Mn,numeric,mg/g,,no,0.5,50,manganese content in leaf,,
leaf_B,numeric,mg/g,,no,0.5,50,boron content in leaf,,
leaf_Al,numeric,mg/g,,no,0.5,50,aluminium content in leaf,,
leaf_Na,numeric,mg/g,,no,0.1,50,sodium content in leaf,,
grain_N,numeric,mg/g,,no,10,600,nitrogen content in grain,,TO_0003068
grain_K,numeric,mg/g,,no,2,300,potassium content in grain,,TO_0003056
grain_P,numeric,mg/g,,no,1,10,phosphorous content in grain,,TO_0003082
grain_S,numeric,mg/g,,no,1,100,sulphur content in grain,,
grain_Mg,numeric,mg/g,,no,1,100,magnesium content in grain,,
grain_Ca,numeric,mg/g,,no,1,100,calcium content in grain,,
grain_Fe,numeric,mg/g,,no,1,100,iron content in grain,,
grain_Zn,numeric,mg/g,,no,0.01,10,zinc content in grain,,
grain_Cu,numeric,mg/g,,no,0.01,10,copper content in grain,,
grain_Mn,numeric,mg/g,,no,0.01,10,manganese content in grain,,
grain_B,numeric,mg/g,,no,0.01,10,boron content in grain,,
grain_Al,numeric,mg/g,,no,0.01,10,aluminium content in grain,,
grain_Na,numeric,mg/g,,no,1,100,,,
grain_Cl,numeric,mg/g,,no,1,100,,,
grain_Mo,numeric,mg/g,,no,1,100,,,
grain_C,numeric,mg/g,,no,1,100,,,
grain_Rb,numeric,mg/g,,no,1,100,,,
grain_Co,numeric,mg/g,,no,1,100,,,
 grain_Cd,numeric,mg/g,,no,1,100,,,
grain_protein,numeric,%,,no,1,60,% protein in grain,,
residue_protein,numeric,%,,no,1,30,,,
residue_N,numeric,mg/g,,no,1,500,nitrogen content in residue,,
residue_P,numeric,mg/g,,no,0.05,10,phosphorus content in residue,,
residue_K,numeric,mg/g,,no,1,100,,,
residue_Mg,numeric,mg/g,,no,0.1,100,,,
residue_Ca,numeric,mg/g,,no,0.1,100,,,
residue_Mn,numeric,mg/g,,no,0.01,10,,,
residue_Cu,numeric,mg/g,,no,0.01,10,,,
residue_Fe,numeric,mg/g,,no,0.01,10,,,
residue_Zn,numeric,mg/g,,no,0.01,10,,,
residue_Na,numeric,mg/g,,no,0.01,10,,,
residue_S,numeric,mg/g,,no,0.01,10,,,
residue_B,numeric,mg/g,,no,0.01,10,,,
residue_Mo,numeric,mg/g,,no,0.01,10,,,
residue_Cl,numeric,mg/g,,no,0.01,10,,,
residue_Al,numeric,mg/g,,no,0.01,10,,,
 residue_Ti,numeric,mg/g,,no,0.01,10,,,
residue_C,numeric,mg/g,,no,0.01,10,,,
residue_Cd,numeric,mg/g,,no,0.01,10,,,
residue_Pb,numeric,mg/g,,no,0.01,10,,,
residue_Rb,numeric,mg/g,,no,0.01,10,,,
season_constraint,character,,,no,,,"a constraint that occurred in this particular season (e.g. drought, flood)",,
weed_species,character,,,no,,,weed species names ,,
weed_density,numeric,plants/ha,,no,0,,number of weed plants per ha,,
weed_biomass,numeric,kg/ha,,no,0,100000,Fresh weight weeds biomass,,
weed_severity,character,,,no,,,how severe was the competition from weeds?,,
weed_cover,numeric,%,,no,,,% weed cover,,
pest_severity,character,,,no,,,how severe was the pest damage?,,
pest_species,character,,,no,,,name(s) of relevant pest(s),,
pest_number,integer,,,no,,,number of pest species,,
disease_severity,character,,,no,,,how severe was the disease damage?,,
severity_scale,character,,,no,,,"Scale of (disease) severity measure, from low to high. E.g. 1-9",,
disease_incidence,character,,,no,,,incidence of the disease,,
disease,character,,disease,no,,,name of the disease,,
residue_prevcrop,numeric,kg/ha,,no,,,how much residue of the previous crop is on the field?,,
residue_prevcrop_used,logical,,,no,,,Was the residue of the previous crop left on the field?,,
crop_cut,logical,,,no,,,was the yield (in a survey) determined with a crop cut?,,
previous_crop_residue_weight,numeric,kg/ha,,no,0,10000,weight of residue of previous crop that stayed on the field,,
previous_crop_residue_perc,numeric,%,,no,0,100,percentage of residue of previous crop that stayed on the field,,
previous_crop_burnt,logical,,,no,,,was the residue of the previous crop burnt?,,
previous_crop_residue_management,character,,,no,,,how was the previous crop residue managed?,,
flood_stress,character,,,no,,,how severe was the damage from flooding?,,
drought_stress,character,,,no,,,how severe was the damage from drought?,,
stress,character,,stress_type,yes,,,type(s) of stress experienced by the crop,,
LAI,numeric,,,no,0,12,"leaf area index (presumbably the max; this needs to be improved, it should be linked to a date and/or growht stage)",,
harvest_index,numeric,%,,no,0,100,"harvest index (100 * yield / (total biomass)), normally as dry weight",,
farmer_gender,character,,,no,,,gender of farmer (on-farm trials or survey),,
virus_severity,character,,,no,,,how severe was the virus infection?,,
striga_damage,logical,,,no,,,was yield affected by the striga parasite?,,
bird_damage,character,,,no,,,"one of : ""none"", ""traces"", ""slight"", ""moderate"", ""severe""",,
hail_damage,character,,,no,,,"one of : ""none"", ""traces"", ""slight"", ""moderate"", ""severe""",,
herbicide_damage,character,,,no,,,"one of : ""none"", ""traces"", ""slight"", ""moderate"", ""severe""",,
shelling_percentage,numeric,,,no,10,90,"100 * grain weight / fruit (pod, ear) weight",,
house_distance,numeric,,,no,,,Distance of field to the house of the person managing the field,,
NDVI,numeric,,,no,0,1,Normalized difference vegetation index,,
flesh_color,character,,,no,,,"""flesh"" color of (sweet)potato and other root/tubers",,
grain_color,character,,,no,,,grain color,,
CA_years,numeric,,,no,0,30,number of years that Conservation Agriculture has been practised,,
sterility_index,numeric,,,no,0,100,% sterility of inflorescence,,
striga_trial,logical,,,no,,,Is this a striga trial?,,
borer_trial,logical,,,no,,,Is this a stem-borer trial?,,
striga_infected,logical,,,no,,,Was the plot infected with striga?,,
tree_density,numeric,/ha,,no,,,number or trees per ha,,
shrub_density,numeric,/ha,,no,,,number of shrubs per ha,,
